snapshot_date,ticker,Company Name,Industry,stage,stage_raw,stage_variant,stage_confidence,stage_reason,stage_state_reason,stage_failed_since,last_stage2_date,current_rank,interesting_priority,daily_setup_bucket,weekly_setup_bucket,combined_bucket,final_combined_score,rs_3m_pct,rs_6m_pct,volume_dryup_ratio,breakout_volume_ratio,weekly_volume_ratio,volume_is_drying_up,weekly_volume_is_drying_up,notes
2026-06-08,IGIL.NS,International Gemological Institute Limited,Basic Materials,Stage 2,Stage 2,Early Stage 2,0.72,"Price has moved above long-term structure, but the full moving-average stack is not clean yet.",,,2026-06-05,30,105.456,watchlist,weekly_near_pivot,watchlist,57.28,14.46,25.05,0.8,0.41,0.76,True,True,"Stage 2, Early Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong"
2026-06-08,ARVIND.NS,Arvind Limited,Textile Manufacturing,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-05,5,104.918,watchlist,weekly_breakout,watchlist,73.34,48.99,57.5,0.88,0.48,1.03,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-08,ELGIEQUIP.NS,Elgi Equipments Limited,Specialty Industrial Machinery,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-05,7,103.754,watchlist,weekly_breakout,watchlist,70.02,20.58,33.15,2.18,0.54,1.43,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-08,IPCALAB.NS,IPCA Laboratories Limited,Drug Manufacturers - Specialty & Generic,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-05,8,103.33,watchlist,weekly_breakout,watchlist,69.15,15.93,25.9,1.25,3.08,1.74,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-08,AIAENG.NS,AIA Engineering Limited,Specialty Industrial Machinery,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-05,9,102.804,watchlist,weekly_breakout,watchlist,67.77,31.26,29.47,2.82,0.6,1.31,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-08,DREDGECORP.NS,Dredging Corporation of India Limited,Engineering & Construction,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-05,10,102.478,watchlist,weekly_breakout,watchlist,67.39,19.44,41.15,1.11,0.4,1.18,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-08,ADANIPOWER.NS,Adani Power Limited,Utilities,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-05,15,101.536,watchlist,weekly_near_pivot,watchlist,63.93,68.04,69.9,0.88,0.79,0.62,False,True,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_volume_dryup, weekly_strong"
2026-06-08,FEDERALBNK.NS,The Federal Bank  Limited,Banks - Regional,Stage 2,Stage 2,Clean Stage 2,0.9,"Price is above rising key averages, weekly structure is supportive, and the stock is near its 52-week high.",,,2026-06-05,12,101.428,watchlist,weekly_breakout,watchlist,64.64,11.86,29.43,2.44,0.76,0.9,False,False,"Stage 2, Clean Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-08,RPTECH.NS,Rashi Peripherals Limited,Technology,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-05,3,99.652,watchlist,weekly_near_pivot,watchlist,74.51,60.59,77.31,0.9,1.53,0.96,False,False,"Stage 2, Extended Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong"
2026-06-08,DIACABS.NS,Diamond Power Infrastructure Limited,Specialty Industrial Machinery,Stage 2,Stage 2,Extended Stage 2,0.78,"Advancing structure remains intact, but price is stretched versus key moving averages or far above the 52-week low.",,,2026-06-05,21,98.58,watchlist,weekly_breakout,watchlist,61.65,52.03,50.09,1.63,1.13,1.22,False,False,"Stage 2, Extended Stage 2, weekly_vcp_ok, weekly_strong"
